date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:18	218/218	---M-Z	200	added ('OK')	text/plain	etag:%22161-61ef163c138f4-gzip%22	https://lebronconstruction.com/robots.txt		(from )
12:40:18	18425/18425	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:19%20GMT	https://lebronconstruction.com/	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/index.html	(from )
12:40:20	377022/377022	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css	(from https://lebronconstruction.com/)
12:40:21	90950/90950	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jun%202020%2021:27:57%20GMT	https://lebronconstruction.com/imageserver/GlobalMedia/Icons/xsocialMediaIcons.png.pagespeed.ic.x_BV1h5EwA.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/GlobalMedia/Icons/xsocialMediaIcons.png.pagespeed.ic.x_BV1h5EwA.png	(from https://lebronconstruction.com/)
12:40:23	16829/16829	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:23%20GMT	https://lebronconstruction.com/Roofing-Services-11-11	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Roofing-Services-11-11.html	(from https://lebronconstruction.com/)
12:40:23	52325/52325	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Jan%202020%2017:18:33%20GMT	https://lebronconstruction.com/imageserver/UserMedia/lebronroofing/xLebronConstructionLogo2.png.pagespeed.ic.C1e_sPF7Ge.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/UserMedia/lebronroofing/xLebronConstructionLogo2.png.pagespeed.ic.C1e_sPF7Ge.png	(from https://lebronconstruction.com/)
12:40:23	15504/15504	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:23%20GMT	https://lebronconstruction.com/Remodeling-Services	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Remodeling-Services.html	(from https://lebronconstruction.com/)
12:40:24	15314/15314	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:24%20GMT	https://lebronconstruction.com/Financing_3	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Financing_3.html	(from https://lebronconstruction.com/)
12:40:24	15997/15997	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:24%20GMT	https://lebronconstruction.com/Testimonials	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Testimonials.html	(from https://lebronconstruction.com/)
12:40:24	15047/15047	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:25%20GMT	https://lebronconstruction.com/Online_Coupons	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Online_Coupons.html	(from https://lebronconstruction.com/)
12:40:25	23232/23232	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:40:25%20GMT	https://lebronconstruction.com/Contact-Us	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Contact-Us.html	(from https://lebronconstruction.com/)
12:42:46	3041559/3041559	---M--	200	added ('OK')	image/png	etag:%222e6917-58ca34b5569c0%22	https://lebronconstruction.com/imageserver/AdminMedia/sliders/2200/hammer.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/sliders/2200/hammer.png	(from https://lebronconstruction.com/)
12:43:04	145219/145219	---M--	200	added ('OK')	image/png	etag:%2223743-55876bfcfb8c0%22	https://lebronconstruction.com/imageserver/UserMedia/lebron/Hp1.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/UserMedia/lebron/Hp1.png	(from https://lebronconstruction.com/)
12:43:09	16062/16062	---M--	200	added ('OK')	image/png	etag:%223ebe-55876a15a7b00%22	https://lebronconstruction.com/imageserver/AdminMedia/GAF/Logos/Certified/Certified2011-200-glow.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/GAF/Logos/Certified/Certified2011-200-glow.png	(from https://lebronconstruction.com/)
12:43:11	9811/9811	---M--	200	added ('OK')	image/png	etag:%222653-55876a0665700%22	https://lebronconstruction.com/imageserver/AdminMedia/BrandLogos/OwensCorning/owens_corning75.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/BrandLogos/OwensCorning/owens_corning75.png	(from https://lebronconstruction.com/)
12:43:12	2564293/2564293	---M--	200	added ('OK')	image/png	etag:%222720c5-58ca34d89fd00%22	https://lebronconstruction.com/imageserver/AdminMedia/sliders/2200/midwesthouse.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/sliders/2200/midwesthouse.png	(from https://lebronconstruction.com/)
12:43:18	14538/14538	---M--	200	added ('OK')	image/png	etag:%2238ca-55876a0665700%22	https://lebronconstruction.com/imageserver/AdminMedia/BrandLogos/Tamko/TamkoLogo-200.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/BrandLogos/Tamko/TamkoLogo-200.png	(from https://lebronconstruction.com/)
12:43:21	2122409/2122409	---M--	200	added ('OK')	image/png	etag:%222062a9-58ca34e229380%22	https://lebronconstruction.com/imageserver/AdminMedia/sliders/2200/remodling.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/sliders/2200/remodling.png	(from https://lebronconstruction.com/)
